date;first_name;gender;product_name;category;price;quantity;revenue;customer_country;platform;marketing_channel;nps_score
7/14/2024;Colver;Male;Ultimate Planner Hub;Webinar;128;1;128;Portugal;ClickFunnels;Email;3
04/10/2025;Paolo;Male;Content Calendar Pro;E-book;32;5;160;Indonesia;Direct;Email;6
02/01/2025;Stacie;Female;Habit Tracker for Creators;Webinar;27;1;27;Guatemala;Kajabi;Organic Search;3
5/23/2025;Kaia;Female;Masterclass: Digital Marketing;Coaching Program;147;3;441;Brazil;Direct;YouTube;1
09/09/2024;Steven;Male;Habit Tracker for Creators;Course;88;1;88;Poland;Teachable;Affiliate;4
7/28/2024;Dunstan;Male;AI Course for Beginners;Coaching Program;81;2;162;China;ClickFunnels;YouTube;7
7/27/2024;Allyson;Female;AI Course for Beginners;Coaching Program;80;2;160;Argentina;Gumroad;TikTok;7
8/18/2024;Arch;Male;Masterclass: Digital Marketing;Coaching Program;45;4;180;Mongolia;ClickFunnels;TikTok;1
06/05/2025;Flossie;Bigender;Notion Second Brain;Webinar;142;5;710;Philippines;Teachable;YouTube;2
10/23/2024;Claire;Female;Financial Tracker;Coaching Program;20;5;100;China;ClickFunnels;Organic Search;6
10/25/2024;Tildie;Female;AI Course for Beginners;Course;65;3;195;Iran;Kajabi;TikTok;4
12/15/2024;Duky;Genderqueer;Masterclass: Digital Marketing;Course;38;4;152;Mongolia;Gumroad;Affiliate;6
09/02/2024;Paddie;Agender;AI Course for Beginners;Coaching Program;54;1;54;China;Shopify;TikTok;1
04/12/2025;Wash;Male;Content Calendar Pro;Template;148;3;444;Brazil;Teachable;Email;4
12/24/2024;Jennee;Female;Masterclass: Digital Marketing;Template;111;3;333;Philippines;Shopify;Instagram;3
12/01/2024;Barnett;Male;Content Calendar Pro;Coaching Program;79;3;237;China;Gumroad;Affiliate;4
7/22/2024;Stacee;Female;Financial Tracker;Course;131;1;131;China;Gumroad;Paid Ads;6
12/09/2024;Ruprecht;Male;Project Management Toolkit;Template;29;2;58;Macedonia;Teachable;Facebook Ads;0
7/30/2024;Peterus;Bigender;Webinar: Launch Your First Course;Subscription;90;2;180;Indonesia;Kajabi;Facebook Ads;9
12/17/2024;Aundrea;Female;Masterclass: Digital Marketing;Coaching Program;143;1;143;Indonesia;ClickFunnels;YouTube;2
05/02/2025;Neala;Female;Content Calendar Pro;Subscription;136;3;408;Russia;Teachable;Paid Ads;9
9/26/2024;Brnaby;Bigender;Content Calendar Pro;Webinar;39;2;78;China;Gumroad;Affiliate;10
09/05/2024;Nikolas;Male;Financial Tracker;Coaching Program;139;1;139;China;Shopify;Organic Search;6
6/15/2025;Garreth;Male;Productivity Booster Pack;E-book;21;3;63;Armenia;ClickFunnels;Facebook Ads;6
10/05/2024;Beverlie;Female;Financial Tracker;Coaching Program;110;4;440;Japan;Kajabi;TikTok;1
05/07/2025;Archer;Male;Financial Tracker;Course;45;5;225;Argentina;Shopify;Instagram;10
7/22/2024;Bonita;Female;Webinar: Launch Your First Course;Coaching Program;69;5;345;China;Kajabi;YouTube;2
11/28/2024;Karole;Female;AI Course for Beginners;Template;59;3;177;Cuba;Teachable;Paid Ads;1
01/11/2025;Torie;Female;Webinar: Launch Your First Course;Course;46;3;138;United States;Gumroad;Email;5
3/31/2025;Reggie;Male;Webinar: Launch Your First Course;Template;36;2;72;China;Direct;TikTok;8
2/26/2025;Vittoria;Female;Financial Tracker;E-book;95;4;380;Palestinian Territory;Gumroad;Instagram;5
11/06/2024;Angela;Female;Notion Second Brain;Subscription;112;4;448;Indonesia;Teachable;TikTok;9
10/16/2024;Nada;Female;Content Calendar Pro;E-book;76;4;304;China;Direct;Paid Ads;8
05/03/2025;Barbara;Female;Financial Tracker;Coaching Program;116;2;232;Russia;Gumroad;TikTok;3
2/18/2025;Wallie;Male;Content Calendar Pro;Subscription;80;3;240;France;Direct;YouTube;5
7/22/2024;Enoch;Male;Notion Second Brain;Subscription;95;1;95;Russia;ClickFunnels;Email;2
3/16/2025;Elnore;Female;AI Course for Beginners;Course;120;3;360;Nigeria;Direct;TikTok;2
11/17/2024;Jamill;Male;Productivity Booster Pack;Coaching Program;30;3;90;Argentina;Gumroad;Facebook Ads;5
9/17/2024;Joice;Female;Financial Tracker;Coaching Program;95;5;475;Russia;Gumroad;Email;8
05/07/2025;Tabby;Female;Project Management Toolkit;Coaching Program;79;4;316;Poland;Gumroad;Instagram;8
3/13/2025;Garik;Male;Content Calendar Pro;E-book;24;5;120;Japan;ClickFunnels;TikTok;3
01/12/2025;Jamison;Male;Masterclass: Digital Marketing;Template;100;2;200;Indonesia;ClickFunnels;Facebook Ads;2
